detector,period,scope,n_treatment,n_control,delta,ci_low,ci_high,p_value,material,is_primary,family,view,outlet
fastdetectgpt,post,band_600-inf_year_2023,28,47,0.07598784194528885,-0.19604863221884494,0.34042553191489366,0.5876793869459045,False,False,outlet,own_pre,the_liberal
fastdetectgpt,post,band_600-inf_year_2024,40,47,0.06276595744680846,-0.17978723404255315,0.30747340425531877,0.6183248873735406,False,False,outlet,own_pre,the_liberal
fastdetectgpt,post,band_600-inf_year_2025,360,47,0.19101654846335703,0.024698581560283754,0.35130023640661934,0.033176585506127364,True,False,outlet,own_pre,the_liberal
fastdetectgpt,post,band_600-inf_year_2026,180,47,0.2633569739952719,0.08675531914893625,0.43192671394799026,0.005480668895162755,True,False,outlet,own_pre,the_liberal
fastdetectgpt,post,post_all,5608,5608,-0.09548006617813154,-0.11696243161771136,-0.0741527842713995,2.009647295360783e-18,False,False,outlet,own_pre,gript
fastdetectgpt,post,year_2022,167,5608,-0.044047425833069975,-0.12598154262089237,0.043136088735510454,0.331325547892127,False,False,outlet,own_pre,gript
fastdetectgpt,post,year_2023,1459,5608,-0.055314839566310336,-0.08755812097473598,-0.02131848143110945,0.0011150925053310561,False,False,outlet,own_pre,gript
fastdetectgpt,post,year_2024,1430,5608,-0.12135809981744361,-0.15465552457528212,-0.08717106805462728,1.2945714750569293e-12,False,False,outlet,own_pre,gript
fastdetectgpt,post,year_2025,1809,5608,-0.10910379155104177,-0.14086280487324038,-0.07803874213494262,2.7796877668128916e-12,False,False,outlet,own_pre,gript
fastdetectgpt,post,year_2026,743,5608,-0.10293552951657214,-0.14947869367544533,-0.056543706548806506,4.963175827765681e-06,False,False,outlet,own_pre,gript
fastdetectgpt,post,band_0-150,91,134,0.059209447269148674,-0.0975889781859931,0.21519189765458413,0.45189408493200145,False,False,outlet,own_pre,gript
fastdetectgpt,post,band_0-150_year_2022,2,134,-0.30597014925373134,-0.5373134328358209,-0.07462686567164178,0.49150326797385624,True,False,outlet,own_pre,gript
fastdetectgpt,post,band_0-150_year_2023,10,134,0.13731343283582098,-0.25970149253731345,0.517910447761194,0.4720935604917029,False,False,outlet,own_pre,gript
fastdetectgpt,post,band_0-150_year_2024,34,134,0.1347673397717295,-0.10316066725197537,0.3691834942932397,0.226278335300668,False,False,outlet,own_pre,gript
fastdetectgpt,post,band_0-150_year_2025,35,134,0.015351812366737771,-0.20341151385927503,0.23583155650319823,0.8904589352827998,False,False,outlet,own_pre,gript
fastdetectgpt,post,band_0-150_year_2026,10,134,-0.04925373134328359,-0.4044776119402985,0.3253731343283581,0.7984065903114429,False,False,outlet,own_pre,gript
fastdetectgpt,post,band_150-300,471,813,-0.11306972942340887,-0.17720821157256159,-0.04829430459909689,0.0007231274508402404,False,False,outlet,own_pre,gript
fastdetectgpt,post,band_150-300_year_2022,17,813,0.04565516243397738,-0.2673504087982056,0.3498444396208667,0.7474667028566643,False,False,outlet,own_pre,gript
fastdetectgpt,post,band_150-300_year_2023,119,813,-0.0799301270323628,-0.19433625848863528,0.02802257434339054,0.15866069779112746,False,False,outlet,own_pre,gript
fastdetectgpt,post,band_150-300_year_2024,128,813,-0.07551122386223863,-0.17797317035670351,0.026906999538745435,0.16928952726021296,False,False,outlet,own_pre,gript
fastdetectgpt,post,band_150-300_year_2025,155,813,-0.17246359560369795,-0.27226322263222635,-0.07201364916874976,0.0006584141773410868,True,False,outlet,own_pre,gript
fastdetectgpt,post,band_150-300_year_2026,52,813,-0.15621156211562115,-0.32288295959882674,0.010740136247516218,0.05873803928446447,True,False,outlet,own_pre,gript
fastdetectgpt,post,band_300-600,1703,2030,-0.027265995389185727,-0.0643507111472366,0.010331839784327248,0.15072852845464232,False,False,outlet,own_pre,gript
fastdetectgpt,post,band_300-600_year_2022,56,2030,0.054275158339197827,-0.09824243490499646,0.20649542575650953,0.4878699190449691,False,False,outlet,own_pre,gript
fastdetectgpt,post,band_300-600_year_2023,445,2030,-0.04653345879227322,-0.10543050866220179,0.01201599601483367,0.12369210038099818,False,False,outlet,own_pre,gript
fastdetectgpt,post,band_300-600_year_2024,414,2030,-0.03798338925775213,-0.10090883129863641,0.023556495561742836,0.22258238069108272,False,False,outlet,own_pre,gript
fastdetectgpt,post,band_300-600_year_2025,530,2030,-0.034136072125662276,-0.0908715494005019,0.022808207082442498,0.2255755233115937,False,False,outlet,own_pre,gript
fastdetectgpt,post,band_300-600_year_2026,258,2030,0.019578416771680596,-0.061542081949058726,0.10027580478863567,0.6080228287733065,False,False,outlet,own_pre,gript
fastdetectgpt,post,band_600-inf,3343,2631,-0.12571410640044667,-0.15349586825344472,-0.09648311231522089,6.588798859387209e-17,False,False,outlet,own_pre,gript
fastdetectgpt,post,band_600-inf_year_2022,92,2631,-0.10623337134169519,-0.2130707451291458,0.0030764050699849995,0.08284272864696303,False,False,outlet,own_pre,gript
fastdetectgpt,post,band_600-inf_year_2023,885,2631,-0.05212299248207486,-0.0938978970853814,-0.009948656501040447,0.020184021723167935,False,False,outlet,own_pre,gript
fastdetectgpt,post,band_600-inf_year_2024,854,2631,-0.17289621046841075,-0.2164162520906824,-0.12871656354561942,2.899054746183991e-14,True,False,outlet,own_pre,gript
fastdetectgpt,post,band_600-inf_year_2025,1089,2631,-0.1346305737308121,-0.17528148525090576,-0.09467413501310051,9.758398254791818e-11,False,False,outlet,own_pre,gript
fastdetectgpt,post,band_600-inf_year_2026,423,2631,-0.16570657364951258,-0.22617100348365052,-0.10620852663236034,4.301300201054985e-08,True,False,outlet,own_pre,gript
fastdetectgpt,post,all,11138,8034,-0.03264154145027287,-0.04926350701429496,-0.016391432434777458,0.0001122851779542478,False,False,sensitivity,non_wire,(category)
fastdetectgpt,post,year_2022,240,111,-0.030405405405405372,-0.16247372372372368,0.10030217717717708,0.6472514341304124,False,False,sensitivity,non_wire,(category)
fastdetectgpt,post,year_2023,2937,2032,-0.0017845222105152825,-0.03421840608151767,0.030716712712366603,0.9147120018164835,False,False,sensitivity,non_wire,(category)
fastdetectgpt,post,year_2024,2840,1979,-0.1250104975481997,-0.157991819029386,-0.09264552448597599,1.427395814905735e-13,False,False,sensitivity,non_wire,(category)
fastdetectgpt,post,year_2025,3663,2743,-0.02296367225277174,-0.05117164192993581,0.005074657562809273,0.11523675020985476,False,False,sensitivity,non_wire,(category)
fastdetectgpt,post,year_2026,1458,1169,0.047710575322019055,0.0032181961767236483,0.09132270438546775,0.03533724158151211,False,False,sensitivity,non_wire,(category)
fastdetectgpt,pre,all,11195,8600,-0.10801684722207794,-0.12375730392513272,-0.09171961579608842,6.57362442794988e-39,False,False,sensitivity,non_wire,(category)
binoculars,post,all,11216,11216,-0.06367807299944439,-0.07852404539997633,-0.04857687549539478,1.464926530789875e-16,False,False,category,all,(category)
binoculars,post,band_0-150,1630,720,-0.12945466939331973,-0.17782609066121335,-0.08152534935241995,5.452309992661299e-07,False,False,category,all,(category)
binoculars,post,band_150-300,2285,1880,-0.218213603985288,-0.25189262768285303,-0.1847045486288933,6.740689039243823e-34,True,False,category,all,(category)
binoculars,post,band_300-600,3345,4559,-0.022598641101833405,-0.04790774731956472,0.00334022356278131,0.0855799713835605,False,False,category,all,(category)
binoculars,post,band_600-inf,3956,4057,0.03166436669771233,0.006443108915846147,0.05651700377806343,0.014113939994942036,False,False,category,all,(category)
binoculars,post,year_2022,242,140,0.004132231404958775,-0.11564492325855959,0.12361570247933872,0.9467130122567587,False,False,category,all,(category)
binoculars,post,year_2023,2944,2779,-0.06726130176635325,-0.09702479142872786,-0.03740345144875387,1.0606854229452124e-05,False,False,category,all,(category)
binoculars,post,year_2024,2863,2744,-0.18702718101361593,-0.21700696925893756,-0.15809034400397548,7.83382556174254e-34,True,False,category,all,(category)
binoculars,post,year_2025,3694,3895,-0.02640162411654612,-0.05180023394284039,7.372222797531951e-05,0.04648080842654625,False,False,category,all,(category)
binoculars,post,year_2026,1473,1658,0.06976030961816115,0.030833316954886437,0.10986931432450774,0.0007407567151506765,False,False,category,all,(category)
binoculars,post,band_pooled,11216,11216,-0.05072981555782578,,,,False,False,category,all,(category)
binoculars,pre,all,11216,11216,-0.17051335588195793,-0.18532159596363254,-0.1552409011826008,2.2005720281047736e-108,True,False,category,all,(category)
binoculars,pre,band_0-150,3361,983,-0.14645976543216233,-0.1850921935927731,-0.10700890896505094,2.6506183363872346e-12,False,False,category,all,(category)
binoculars,pre,band_150-300,2810,2494,-0.4238679592588047,-0.4515552593127421,-0.3957378063223623,7.23260935750026e-157,True,False,category,all,(category)
binoculars,pre,band_300-600,2367,4595,-0.14706301232075236,-0.17540068993638958,-0.11978992292001973,7.716470347346085e-24,False,False,category,all,(category)
