detector,outlet,fpr_target,threshold,n_human,fpr_realised,tpr,tpr_GPT_4-o,tpr_gemma-2-9b,tpr_llama-8B,tpr_mistral-7B,tpr_qwen-2-72B,tpr_yi-large
fastdetectgpt,gript,0.01,1.7709637880325315,1901,0.010520778537611783,0.6135227693446872,0.009387000426681837,0.6855733662145499,0.8379158647236734,0.8114395183360701,0.8602900930487137,0.44768439108061747
fastdetectgpt,gript,0.05,1.2143776416778564,1901,0.05049973698053656,0.7111486486486487,0.033565637889347175,0.8154541718043568,0.8902941985152598,0.9255610290093049,0.9263820470717022,0.6482275586049171
perplexity,rte,0.01,-2.069467067718506,1906,0.01049317943336831,0.763629211403184,0.27464087612003985,0.5577476366625566,0.9004674182018146,0.9679802955665024,0.9679802955665024,0.9006575185820469
perplexity,rte,0.05,-2.26761531829834,1906,0.05036726128016789,0.8829137356534617,0.5939411179064145,0.809151938621729,0.9133901567225735,0.9965790914066777,0.9946633825944171,0.9831332189822756
perplexity,irish_examiner,0.01,-2.0258712768554688,1993,0.010035122930255895,0.7304239170677527,0.21732328260560377,0.48910809699958896,0.894555952708276,0.951559934318555,0.9552545155993432,0.8613493424814179
perplexity,irish_examiner,0.05,-2.2776691913604736,1993,0.050175614651279475,0.8880738615327657,0.6120039823638174,0.8201123441567338,0.9133901567225735,0.9967159277504105,0.9952107279693486,0.9847055460263008
perplexity,the_liberal,0.01,-2.022306442260742,1997,0.010015022533800702,0.7276240281377268,0.21348314606741572,0.4840389094396493,0.8931811932911741,0.9488232074438971,0.9542966611932129,0.8584905660377359
perplexity,the_liberal,0.05,-2.295344352722168,1997,0.0500751126690035,0.8961264346538319,0.641160574598208,0.8357309220441156,0.9140775364311245,0.9969896004378763,0.9956212370005474,0.9874213836477987
perplexity,gript,0.01,-2.261636257171631,1901,0.010520778537611783,0.8800444279896334,0.5832740719670033,0.803534730785039,0.9132526807808633,0.9964422550629447,0.9941160372194855,0.9828473413379074
perplexity,gript,0.05,-2.477426528930664,1901,0.05049973698053656,0.9558728248796742,0.8792490399658655,0.9414988354569119,0.9165521033819082,0.9995894909688013,0.9993158182813355,0.9977129788450543
radar,rte,0.01,0.9838746786117554,1906,0.01049317943336831,0.04447426878933728,0.006400227563646707,0.057131113851212494,0.05237833379158647,0.046524356869184456,0.06212370005473454,0.040737564322469985
radar,rte,0.05,0.5985814332962036,1906,0.05036726128016789,0.6271751203258052,0.3760489261840421,0.5152760652144129,0.6512235358812208,0.7582101806239737,0.7341269841269841,0.722698684962836
radar,irish_examiner,0.01,0.980776309967041,1993,0.010035122930255895,0.05578952239911144,0.008249182193144645,0.06507740786409097,0.06585097607918615,0.06061850027367269,0.07758620689655173,0.05560320182961692
radar,irish_examiner,0.05,0.2236491590738296,1993,0.050175614651279475,0.8861069974083673,0.7304793059308775,0.8429921907110564,0.9098157822381083,0.9636015325670498,0.9289819376026273,0.9371069182389937
radar,the_liberal,0.01,0.999338448047638,1997,0.010015022533800702,9.255831173639393e-05,0.0,0.0004110152075626798,0.0,0.0,0.0,0.0001429388221841052
radar,the_liberal,0.05,0.9988116025924684,1997,0.0500751126690035,0.0002776749352091818,0.0,0.0010960405535004796,0.00027495188342040145,0.0,0.00013683634373289546,0.0001429388221841052
radar,gript,0.01,0.5044052600860596,1901,0.010520778537611783,0.698768974453906,0.45854074811548856,0.6017262638717632,0.7174869397855376,0.8251231527093597,0.7950191570881227,0.7894511149228131
radar,gript,0.05,0.0472536347806453,1901,0.05049973698053656,0.9876897445390596,0.9643009529227706,0.9853404575969311,0.9888644487214737,0.9989053092501369,0.9926108374384236,0.9955688965122927
